"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)",16,800000,"",115,"","ほぼ正方形",10.8,80,"1978年","木造","住宅","その他","南","市道",6.2,"１中住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)",18,30000000,"",120,"","長方形",9.2,95,"2023年","木造","住宅","住宅","西","市道",6,"１中住専",60,150,"2024年第4四半期",""
"宅地(土地)","不動産取引価格情報","宅地見込地","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)","30分～60分",3400000,9000,1200,2700,"不整形",22,"","","","","","南","市道",6.6,"調整区域",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)",11,23000000,"",125,"","ほぼ長方形",8.5,100,"2025年","木造","住宅","住宅","西","市道",5,"１中住専",60,200,"2024年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","宝殿",19,29000000,"",170,"","袋地等","",105,"2024年","木造","住宅","住宅","南","市道",5.3,"２低住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","宝殿",21,20000000,"",130,"","長方形",9.6,100,"2024年","木造","住宅","住宅","南東","市道",4.8,"１中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","宝殿",26,2000000,"",75,"","ほぼ長方形",7,65,"1975年","木造","住宅","その他","東","道路",4.6,"１中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","宝殿",26,20000000,"",155,"","ほぼ台形",9.4,100,"2024年","木造","住宅","住宅","南","市道",4,"１中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","宝殿","30分～60分",21000000,"",240,"","ほぼ正方形",11.5,280,"2007年","鉄骨造","住宅","住宅","西","市道",4.2,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町扇町","荒井(兵庫)",4,66000000,"",1300,"","不整形",19.4,260,"2012年","軽量鉄骨造","共同住宅","住宅","南東","市道",3.5,"１中住専",60,200,"2025年第2四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町紙町","荒井(兵庫)",9,15000000,220000,220,67000,"不整形",8.4,"","","","","住宅","北西","市道",5.3,"１中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町紙町","荒井(兵庫)",8,15000000,"",185,"","ほぼ台形",18.5,85,"1979年","木造","住宅","","南西","市道",5.2,"１中住専",60,150,"2024年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町紙町","荒井(兵庫)",8,15000000,330000,150,100000,"長方形",10.6,"","","","","住宅","南東","市道",5.3,"１中住専",60,150,"2024年第4四半期",""
